timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-26 23:30:00+05:30,41915.17,42193.8,41851.5,42105.01,2701.00331,2024-01-27 00:29:59.999000+05:30,113572475.5121159,100567.0,1475.24763,62030822.0949183,0
2024-01-27 00:30:00+05:30,42105.0,42125.0,41936.0,42064.49,1717.73397,2024-01-27 01:29:59.999000+05:30,72200333.2695964,60726.0,781.22539,32836860.0658589,0
2024-01-27 01:30:00+05:30,42064.48,42246.82,41838.83,41977.18,2276.19959,2024-01-27 02:29:59.999000+05:30,95635287.3267361,69073.0,1150.32161,48334108.8193531,0
2024-01-27 02:30:00+05:30,41977.18,42048.0,41878.93,41998.78,1148.22293,2024-01-27 03:29:59.999000+05:30,48185348.5151258,37238.0,636.85795,26722173.1787839,0
2024-01-27 03:30:00+05:30,41998.77,42011.75,41820.64,41906.28,1674.96289,2024-01-27 04:29:59.999000+05:30,70176183.2343906,40348.0,634.84177,26601315.2263101,0
2024-01-27 04:30:00+05:30,41906.28,41972.0,41800.02,41823.51,674.42781,2024-01-27 05:29:59.999000+05:30,28247748.5537811,30967.0,301.97897,12648596.2137707,0
2024-01-27 05:30:00+05:30,41823.51,41866.67,41708.0,41785.94,930.043,2024-01-27 06:29:59.999000+05:30,38873224.913042,40901.0,385.37953,16108645.4629584,0
2024-01-27 06:30:00+05:30,41785.94,41933.17,41768.5,41818.86,630.61808,2024-01-27 07:29:59.999000+05:30,26391107.9953508,29912.0,344.60343,14422658.7927482,0
2024-01-27 07:30:00+05:30,41818.86,41896.09,41815.48,41838.59,382.71397,2024-01-27 08:29:59.999000+05:30,16018671.278796,21512.0,175.60375,7349661.9538587,0
2024-01-27 08:30:00+05:30,41838.6,41865.21,41765.64,41815.01,832.99188,2024-01-27 09:29:59.999000+05:30,34829585.7128656,26467.0,271.07253,11334181.1724738,0
2024-01-27 09:30:00+05:30,41815.01,41875.67,41791.1,41844.26,491.10343,2024-01-27 10:29:59.999000+05:30,20545643.9439057,22163.0,231.58232,9689162.7218439,0
2024-01-27 10:30:00+05:30,41844.26,41890.0,41738.59,41762.48,435.4705,2024-01-27 11:29:59.999000+05:30,18205456.4669753,25185.0,189.26715,7912656.277462,0
2024-01-27 11:30:00+05:30,41762.49,41812.0,41691.24,41704.04,559.96951,2024-01-27 12:29:59.999000+05:30,23384613.832526,25954.0,219.48145,9165421.0187718,0
2024-01-27 12:30:00+05:30,41704.04,41729.41,41602.01,41710.14,898.52317,2024-01-27 13:29:59.999000+05:30,37435069.1334328,36485.0,438.11157,18254281.8498011,0
